"code","company_name"
"9107","川崎汽船"
"6457","グローリー"
"2222","寿スピリッツ"
"9101","日本郵船"
"7762","シチズン時計"
"2801","キッコーマン"
"2267","ヤクルト本社"
"7747","朝日インテック"
"2181","パーソルホールディングス"
"4021","日産化学"
"6448","ブラザー工業"
"8098","稲畑産業"
"6861","キーエンス"
"3402","東レ"
"6951","日本電子"
"2670","エービーシー・マート"
"8133","伊藤忠エネクス"
"5803","フジクラ"
"9110","ＮＳユナイテッド海運"
"3923","ラクス"
"1518","三井松島ホールディングス"
"2503","キリンホールディングス"
"6532","ベイカレント"
"9432","ＮＴＴ"
"4373","シンプレクス・ホールディングス"
"6508","明電舎"
"9104","商船三井"
"8876","リログループ"
"4385","メルカリ"
"6301","小松製作所"
"7740","タムロン"
"5076","インフロニア・ホールディングス"
"6503","三菱電機"
"3132","マクニカホールディングス"
"4613","関西ペイント"
"4203","住友ベークライト"
"9143","ＳＧホールディングス"
"6841","横河電機"
"6806","ヒロセ電機"
"4401","ＡＤＥＫＡ"
"6273","ＳＭＣ"
"3107","ダイワボウホールディングス"
"4206","アイカ工業"
"8194","ライフコーポレーション"
"5393","ニチアス"
"9201","日本航空"
"6432","竹内製作所"
"4543","テルモ"
"8088","岩谷産業"
"6305","日立建機"
"4732","ユー・エス・エス"
"4062","イビデン"
"8334","群馬銀行"
"6724","セイコーエプソン"
"8154","加賀電子"
"4716","日本オラクル"
"8015","豊田通商"
"7733","オリンパス"
"7912","大日本印刷"
"4183","三井化学"
"8060","キヤノンマーケティングジャパン"
"2269","明治ホールディングス"
"2371","カカクコム"
"9962","ミスミグループ本社"
"6501","日立製作所"
"6752","パナソニック ホールディングス"
"5108","ブリヂストン"
"6465","ホシザキ"
"4722","フューチャー"
"7936","アシックス"
"7453","良品計画"
"6857","アドバンテスト"
"9706","日本空港ビルデング"
"4528","小野薬品工業"
"8308","りそなホールディングス"
"9934","因幡電機産業"
"7729","東京精密"
"7867","タカラトミー"
"6869","シスメックス"
"2124","ジェイエイシーリクルートメント"
"6960","フクダ電子"
"3465","ケイアイスター不動産"
"4680","ラウンドワン"
"3769","ＧＭＯペイメントゲートウェイ"
"7832","バンダイナムコホールディングス"
"2229","カルビー"
"9434","ソフトバンク"
"2802","味の素"
"1719","安藤・間"
"8725","ＭＳ＆ＡＤインシュアランスグループホールディングス"
"9766","コナミグループ"
"6098","リクルートホールディングス"
"2685","アンドエスティＨＤ"
"5714","ＤＯＷＡホールディングス"
"7974","任天堂"
"7267","本田技研工業"
"6701","日本電気"
"4527","ロート製薬"
"8130","サンゲツ"
"6702","富士通"
"2212","山崎製パン"
"9508","九州電力"
"9069","センコーグループホールディングス"
"4091","日本酸素ホールディングス"
"2154","オープンアップグループ"
"4768","大塚商会"
"2767","円谷フィールズホールディングス"
"8078","阪和興業"
"2871","ニチレイ"
"4578","大塚ホールディングス"
"3774","インターネットイニシアティブ"
"1721","コムシスホールディングス"
"9041","近鉄グループホールディングス"
"4812","電通総研"
"9684","スクウェア・エニックス・ホールディングス"
"6504","富士電機"
"7282","豊田合成"
"9513","電源開発"
"6988","日東電工"
"8050","セイコーグループ"
"5805","ＳＷＣＣ"
"8411","みずほフィナンシャルグループ"
"4689","ＬＩＮＥヤフー"
"9449","ＧＭＯインターネットグループ"
"1980","ダイダン"
"6965","浜松ホトニクス"
"8242","エイチ・ツー・オー リテイリング"
"4503","アステラス製薬"
"8136","サンリオ"
"8697","日本取引所グループ"
"4684","オービック"
"7269","スズキ"
"8591","オリックス"
"5020","ＥＮＥＯＳホールディングス"
"7701","島津製作所"
"8354","ふくおかフィナンシャルグループ"
"7167","めぶきフィナンシャルグループ"
"8020","兼松"
"5032","ＡＮＹＣＯＬＯＲ"
"7988","ニフコ"
"9202","ＡＮＡホールディングス"
"9616","共立メンテナンス"
"1332","ニッスイ"
"7309","シマノ"
"7741","ＨＯＹＡ"
"2127","日本Ｍ＆Ａセンターホールディングス"
"6005","三浦工業"
"4063","信越化学工業"
"2384","ＳＢＳホールディングス"
"4681","リゾートトラスト"
